degree,institution,location,year,gpa,relevant_coursework
Bachelor of Technology in Electronics and Communication,Future Institute of Technology,Kolkata,Jul 2023,8.96,Data Structures and Algorithms Object-Oriented Programming Database Management Systems Computer Networks Operating Systems Software Engineering Digital Signal Processing Microprocessors Embedded Systems
Professional Java Programming Certification,Ardent Computech Pvt.Ltd,Kolkata,2023,,Advanced Java Programming Spring Framework Hibernate ORM Design Patterns Enterprise Application Development 
